municipality,eur_m2,period,source
Sobral de Monte Agraço,1865,1.º Trimestre de 2026,INE
Soure,884,1.º Trimestre de 2026,INE
Sousel,668,1.º Trimestre de 2026,INE
Sátão,715,1.º Trimestre de 2026,INE
São Brás de Alportel,2381,1.º Trimestre de 2026,INE
São João da Madeira,1836,1.º Trimestre de 2026,INE
São João da Pesqueira,446,1.º Trimestre de 2026,INE
São Pedro do Sul,970,1.º Trimestre de 2026,INE
São Roque do Pico,1390,1.º Trimestre de 2026,INE
São Vicente,1331,1.º Trimestre de 2026,INE
Tabuaço,582,1.º Trimestre de 2026,INE
Tarouca,750,1.º Trimestre de 2026,INE
Tavira,3152,1.º Trimestre de 2026,INE
Terras de Bouro,1071,1.º Trimestre de 2026,INE
Tomar,1285,1.º Trimestre de 2026,INE
Tondela,810,1.º Trimestre de 2026,INE
Torre de Moncorvo,448,1.º Trimestre de 2026,INE
Torres Novas,1199,1.º Trimestre de 2026,INE
Torres Vedras,2292,1.º Trimestre de 2026,INE
Trancoso,492,1.º Trimestre de 2026,INE
Trofa,1847,1.º Trimestre de 2026,INE
Tábua,768,1.º Trimestre de 2026,INE
Vagos,1715,1.º Trimestre de 2026,INE
Vale de Cambra,1318,1.º Trimestre de 2026,INE
Valença,1181,1.º Trimestre de 2026,INE
Valongo,2204,1.º Trimestre de 2026,INE
Valpaços,684,1.º Trimestre de 2026,INE
Velas,1103,1.º Trimestre de 2026,INE
Vendas Novas,1646,1.º Trimestre de 2026,INE
Viana do Alentejo,1058,1.º Trimestre de 2026,INE
Viana do Castelo,1857,1.º Trimestre de 2026,INE
Vidigueira,763,1.º Trimestre de 2026,INE
Vieira do Minho,1144,1.º Trimestre de 2026,INE
Vila Flor,487,1.º Trimestre de 2026,INE
Vila Franca de Xira,2822,1.º Trimestre de 2026,INE
Vila Franca do Campo,1585,1.º Trimestre de 2026,INE
Vila Nova da Barquinha,1415,1.º Trimestre de 2026,INE
Vila Nova de Cerveira,1097,1.º Trimestre de 2026,INE
Vila Nova de Famalicão,1795,1.º Trimestre de 2026,INE
Vila Nova de Foz Côa,423,1.º Trimestre de 2026,INE
Vila Nova de Gaia,2583,1.º Trimestre de 2026,INE
Vila Nova de Paiva,340,1.º Trimestre de 2026,INE
Vila Nova de Poiares,1031,1.º Trimestre de 2026,INE
Vila Pouca de Aguiar,800,1.º Trimestre de 2026,INE
Vila Real,1591,1.º Trimestre de 2026,INE
Vila Real de Santo António,3001,1.º Trimestre de 2026,INE
Vila Velha de Ródão,395,1.º Trimestre de 2026,INE
Vila Verde,1506,1.º Trimestre de 2026,INE
Vila Viçosa,838,1.º Trimestre de 2026,INE
Vila da Praia da Vitória,1349,1.º Trimestre de 2026,INE
Vila de Rei,864,1.º Trimestre de 2026,INE
Vila do Bispo,3236,1.º Trimestre de 2026,INE
Vila do Conde,2262,1.º Trimestre de 2026,INE
Vila do Porto,1409,1.º Trimestre de 2026,INE
Vimioso,464,1.º Trimestre de 2026,INE
Vinhais,352,1.º Trimestre de 2026,INE
Viseu,1595,1.º Trimestre de 2026,INE
Vizela,1540,1.º Trimestre de 2026,INE
Vouzela,625,1.º Trimestre de 2026,INE
Águeda,1366,1.º Trimestre de 2026,INE
Évora,2255,1.º Trimestre de 2026,INE
Ílhavo,2248,1.º Trimestre de 2026,INE
Óbidos,2242,1.º Trimestre de 2026,INE
