country,lat,lon,name
ES,28.2215,-16.413,Playa del Abrigo
ES,28.2272,-13.988,Cala de las Playas
ES,28.229,-13.9789,Playa del Pajarito
ES,28.2297,-16.841,Playa de la Arena
ES,28.231,-16.8419,Playa Neptuno
ES,28.2325,-13.9405,
ES,28.2342,-16.8421,
ES,28.2357,-16.843,
ES,28.2371,-16.8427,Playa Chica
ES,28.2371,-14.2125,Playa de las Hermosas
ES,28.2402,-13.9304,Playa de los James
ES,28.2407,-16.8426,
ES,28.2416,-16.8432,
ES,28.244,-14.2125,Playa de Ugán
ES,28.246,-13.9246,
ES,28.2468,-16.4007,Playa de Chimaje
ES,28.2476,-16.8404,Playa Los Guíos
ES,28.251,-14.2114,
ES,28.2543,-13.9185,Ensenada de Gran Valle
ES,28.2618,-13.9152,Ensenada de Valle Corto
ES,28.2635,-14.2105,Playa de Terife
ES,28.2721,-16.8505,Playa de Barranco Seco
ES,28.2725,-16.3847,
ES,28.273,-13.9105,Ensenada de Jacomar
ES,28.275,-16.3843,
ES,28.2847,-16.3825,Playa de Arriba o Las Bajas
ES,28.2872,-16.862,Playa de Masca
ES,28.2887,-14.2126,Playa de Amanay
ES,28.2888,-16.3789,Playa para perros El Cabezo
ES,28.2906,-16.378,Playa El Cabezo
ES,28.2915,-16.377,
ES,28.2933,-16.3762,Playa La Charcada
ES,28.2949,-16.3744,Playa La Charcada
ES,28.2954,-16.3738,
ES,28.3009,-16.3677,Playa de Las Arenitas
ES,28.3016,-14.2069,Cueva de Lobos
ES,28.3202,-13.8961,
ES,28.3236,-13.8953,
ES,28.3254,-16.3621,Playa de la Entrada
ES,28.3318,-13.8859,
ES,28.3342,-16.364,Playa de Chimisay
ES,28.34,-16.3665,
ES,28.3413,-16.3674,Playa de la Viuda
ES,28.3424,-13.8792,
ES,28.3428,-16.9192,Playa de la Ballenita
ES,28.3436,-14.1808,
ES,28.3446,-14.1792,Playa de Vigocho
ES,28.3453,-13.8787,
ES,28.3464,-16.3691,Playa de Samarines
ES,28.3469,-14.177,Playa de Garcey
ES,28.3527,-16.3695,
ES,28.3543,-16.3697,
ES,28.3551,-13.8781,Puerto del la Torre
ES,28.3559,-16.3694,
ES,28.3577,-16.3688,Playa La Hornilla
ES,28.3585,-16.3676,
