municipality,eur_m2,period,source
Sant Cebrià de Vallalta,7.12,2024,SERPAVI
Sant Climent de Llobregat,9.63,2024,SERPAVI
Sant Cugat del Vallès,13.55,2024,SERPAVI
Sant Cugat Sesgarrigues,3.98,2024,SERPAVI
Sant Esteve de Palautordera,7.75,2024,SERPAVI
Sant Esteve Sesrovires,8.02,2024,SERPAVI
Sant Fost de Campsentelles,9.04,2024,SERPAVI
Sant Feliu de Codines,7.28,2024,SERPAVI
Sant Feliu de Llobregat,11.36,2024,SERPAVI
Sant Feliu Sasserra,3.47,2024,SERPAVI
Sant Fruitós de Bages,6.34,2024,SERPAVI
Vilassar de Dalt,9.73,2024,SERPAVI
Sant Hipòlit de Voltregà,5.62,2024,SERPAVI
Sant Joan Despí,11.58,2024,SERPAVI
Sant Joan de Vilatorrada,6.34,2024,SERPAVI
Vilassar de Mar,10.4,2024,SERPAVI
Sant Julià de Vilatorta,6.44,2024,SERPAVI
Sant Just Desvern,12.82,2024,SERPAVI
Sant Llorenç d'Hortons,7.32,2024,SERPAVI
Sant Llorenç Savall,5.34,2024,SERPAVI
Sant Martí de Centelles,6.46,2024,SERPAVI
Sant Martí de Tous,5.27,2024,SERPAVI
Sant Martí Sarroca,6.95,2024,SERPAVI
Sant Martí Sesgueioles,2.59,2024,SERPAVI
Sant Mateu de Bages,4.87,2024,SERPAVI
Premià de Dalt,10.36,2024,SERPAVI
Sant Pere de Ribes,9.47,2024,SERPAVI
Sant Pere de Riudebitlles,6.29,2024,SERPAVI
Sant Pere de Torelló,6.16,2024,SERPAVI
Sant Pere de Vilamajor,7.26,2024,SERPAVI
Sant Pol de Mar,8.7,2024,SERPAVI
Sant Quintí de Mediona,5.78,2024,SERPAVI
Sant Quirze de Besora,5.08,2024,SERPAVI
Sant Quirze del Vallès,10.01,2024,SERPAVI
Sant Quirze Safaja,4.63,2024,SERPAVI
Sant Sadurní d'Anoia,7.29,2024,SERPAVI
Marganell,3.42,2022,SERPAVI
Santa Coloma de Cervelló,9.39,2024,SERPAVI
Santa Coloma de Gramenet,9.92,2024,SERPAVI
Santa Eugènia de Berga,6.66,2024,SERPAVI
Santa Eulàlia de Riuprimer,8.09,2024,SERPAVI
Santa Eulàlia de Ronçana,8.0,2024,SERPAVI
Santa Margarida de Montbui,5.67,2024,SERPAVI
Santa Margarida i els Monjos,6.67,2024,SERPAVI
Barberà del Vallès,9.18,2024,SERPAVI
Santa Maria de Besora,2.94,2024,SERPAVI
Santa Maria de Corcó,4.85,2024,SERPAVI
Santa Maria de Martorelles,6.87,2024,SERPAVI
Santa Maria d'Oló,4.36,2024,SERPAVI
Santa Maria de Palautordera,7.71,2024,SERPAVI
Santa Perpètua de Mogoda,9.0,2024,SERPAVI
Santa Susanna,8.59,2024,SERPAVI
Sant Vicenç de Castellet,6.48,2024,SERPAVI
Sant Vicenç dels Horts,9.04,2024,SERPAVI
Sant Vicenç de Montalt,10.91,2024,SERPAVI
Sant Vicenç de Torelló,5.65,2024,SERPAVI
Cerdanyola del Vallès,10.04,2024,SERPAVI
Sentmenat,7.82,2024,SERPAVI
Cercs,3.69,2024,SERPAVI
Seva,5.56,2024,SERPAVI
Sitges,13.37,2024,SERPAVI
Sora,2.78,2024,SERPAVI
Subirats,6.41,2024,SERPAVI
Súria,5.51,2024,SERPAVI
Tavèrnoles,2.02,2024,SERPAVI
Tagamanent,4.43,2024,SERPAVI
Talamanca,4.39,2023,SERPAVI
Taradell,6.17,2024,SERPAVI
Terrassa,8.9,2024,SERPAVI
Tavertet,1.46,2011,SERPAVI
Teià,10.18,2024,SERPAVI
Tiana,11.45,2024,SERPAVI
Tona,6.68,2024,SERPAVI
Tordera,7.45,2024,SERPAVI
